#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
24, 3.799401e-01, 1.588031e+01, 6.455578e-05, 1.707618e-18, -6.953456e-01, 2.543516e+02, 9.684852e-01, 6.354315e-01, 4.790899e+00, -4.154818e-05, -5.808600e-01, 1.103752e-04, -2.729078e-14, 5.540273e-17, 6.954625e+00, 2.219226e-18, -3.957338e-18, 2.822419e-04, 5.309203e-18, -3.252607e-18, 4.174178e-18, 1.470915e+00, 9.833572e-01, 7.965091e-01, 2.074500e+00, 2.164792e+00, -1.050527e-03, -5.802479e-01, 9.675261e-01, 1.246612e-04, 6.347869e-01, 1.883552e+00
25, 4.356227e-01, 1.624833e+01, 1.215127e-04, 2.310706e-18, -6.599706e-01, 2.659100e+02, 8.869613e-01, 6.001138e-01, 4.479489e+00, 9.468751e-04, -5.300700e-01, -8.393768e-06, -2.790476e-14, 2.428613e-17, 6.185040e+00, -3.815036e-18, 3.767603e-18, 4.203849e-03, 5.912290e-18, -1.572093e-18, 4.282599e-18, 1.377842e+00, 9.410631e-01, 7.740613e-01, 2.010120e+00, 1.899493e+00, -1.018838e-03, -5.295266e-01, 8.860797e-01, 1.080072e-05, 5.995092e-01, 1.692541e+00
26, 4.967933e-01, 1.660872e+01, 5.365686e-04, 1.575481e-18, -6.150982e-01, 2.775097e+02, 7.940047e-01, 5.552908e-01, 4.166243e+00, 7.169468e-03, -4.733455e-01, -6.579689e-05, -2.853262e-14, 1.398621e-17, 5.500608e+00, -1.514495e-18, -3.794708e-19, 6.769648e-03, 8.024790e-18, -3.252607e-19, 5.421011e-19, 1.287415e+00, 8.903845e-01, 7.445906e-01, 1.945522e+00, 1.658380e+00, -1.747204e-03, -4.728690e-01, 7.932145e-01, -4.763221e-05, 5.547280e-01, 1.503161e+00
27, 5.633095e-01, 1.695620e+01, 9.805085e-04, 1.504331e-18, -5.650618e-01, 2.889470e+02, 6.966106e-01, 5.052968e-01, 3.864989e+00, 1.502190e-02, -4.106692e-01, -2.215550e-04, -2.914281e-14, -1.734723e-18, 4.844427e+00, 1.126893e-17, -3.537210e-18, 2.381272e-03, 8.831166e-18, -1.409463e-18, -3.089976e-18, 1.196644e+00, 8.339888e-01, 7.102786e-01, 1.882377e+00, 1.432801e+00, -1.603611e-03, -4.102609e-01, 6.959194e-01, -2.090253e-04, 5.047802e-01, 1.316750e+00
28, 6.348400e-01, 1.728273e+01, 8.745490e-04, 1.253609e-18, -5.140135e-01, 2.999114e+02, 5.988280e-01, 4.542844e-01, 3.587320e+00, 1.362158e-02, -3.427811e-01, -2.805465e-06, -2.968578e-14, 1.301043e-17, 4.177866e+00, 1.275970e-17, 7.460666e-18, -5.488458e-04, 3.950562e-18, -2.547875e-18, -2.778268e-18, 1.102946e+00, 7.732446e-01, 6.734680e-01, 1.822416e+00, 1.217252e+00, -1.485780e-03, -3.424426e-01, 5.982364e-01, 3.347959e-06, 4.538215e-01, 1.134655e+00
29, 7.108510e-01, 1.757746e+01, 9.204912e-04, 1.317983e-18, -4.658713e-01, 3.099814e+02, 5.060337e-01, 4.061723e-01, 3.343729e+00, 1.495015e-02, -2.708322e-01, -3.195818e-05, -3.018289e-14, 1.040834e-17, 3.449373e+00, 5.454892e-18, 1.653408e-18, -1.254168e-03, 1.412851e-18, -1.558541e-18, 2.168404e-19, 1.006355e+00, 7.108065e-01, 6.368019e-01, 1.767814e+00, 1.013406e+00, -1.229678e-03, -2.705741e-01, 5.055259e-01, -2.879116e-05, 4.057599e-01, 9.623458e-01
30, 7.906069e-01, 1.782426e+01, 6.989524e-04, 1.048627e-18, -4.245812e-01, 3.185343e+02, 4.268822e-01, 3.649062e-01, 3.145072e+00, 1.144335e-02, -1.957732e-01, -4.742813e-05, -3.061429e-14, 9.974660e-18, 2.614025e+00, 3.923457e-18, -1.138412e-18, -4.559592e-03, 2.043043e-18, -4.065758e-19, 1.138412e-18, 9.102863e-01, 6.528567e-01, 6.035825e-01, 1.721511e+00, 8.291815e-01, -1.028368e-03, -1.955883e-01, 4.264599e-01, -4.270881e-05, 3.645372e-01, 8.100893e-01
31, 8.731889e-01, 1.800516e+01, 1.669376e-04, 2.168404e-18, -3.941286e-01, 3.248701e+02, 3.685202e-01, 3.344701e-01, 3.003185e+00, 2.442184e-03, -1.183249e-01, -6.951270e-05, -3.089239e-14, -8.673617e-19, 1.651635e+00, 5.976664e-18, -1.219727e-18, -5.634417e-03, -2.642743e-19, -4.336809e-19, 1.029992e-18, 8.264500e-01, 6.065901e-01, 5.778586e-01, 1.687271e+00, 6.834916e-01, -5.825581e-04, -1.182070e-01, 3.681640e-01, -6.236240e-05, 3.341311e-01, 6.928934e-01
32, 9.575304e-01, 1.810214e+01, -2.654056e-04, 2.005774e-18, -3.780373e-01, 3.282892e+02, 3.373401e-01, 3.183872e-01, 2.929269e+00, -5.312960e-03, -3.954811e-02, -9.264960e-05, -3.105600e-14, -6.071532e-18, 5.748323e-01, 4.299539e-18, -1.951564e-18, -1.171127e-03, -2.398797e-18, -7.589415e-19, 2.818926e-18, 7.750006e-01, 5.803709e-01, 5.637948e-01, 1.668991e+00, 6.010174e-01, -5.275278e-04, -3.950641e-02, 3.370209e-01, -8.873908e-05, 3.180646e-01, 6.280514e-01
33, 1.042470e+00, 1.810324e+01, -2.495943e-05, 2.385245e-18, -3.781179e-01, 3.283288e+02, 3.369994e-01, 3.184677e-01, 2.929350e+00, -1.133709e-03, 3.972193e-02, -6.314334e-05, -3.106857e-14, -2.602085e-18, -5.524629e-01, 1.057097e-18, -2.927346e-18, 4.931218e-03, -3.928539e-18, -1.084202e-18, -1.301043e-17, 7.746972e-01, 5.800746e-01, 5.638698e-01, 1.669002e+00, 6.005304e-01, -7.032495e-04, 3.968207e-02, 3.366782e-01, -6.882294e-05, 3.181484e-01, 6.276785e-01
