#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
26, 4.967933e-01, 1.661055e+01, 1.260022e-03, 9.893345e-19, -5.787305e-01, 2.775684e+02, 7.974374e-01, 5.556723e-01, 3.941505e+00, 2.140861e-02, -4.734775e-01, -1.389519e-04, -2.853121e-14, -1.301043e-18, 5.508120e+00, 2.893465e-18, -3.144186e-18, -9.983177e-03, -5.641239e-19, 8.348357e-18, -2.493665e-18, 1.286866e+00, 8.924956e-01, 7.450110e-01, 1.898575e+00, 1.656717e+00, 4.880488e-04, -4.731002e-01, 7.968637e-01, -1.352444e-04, 5.552687e-01, 1.504425e+00
27, 5.633095e-01, 1.695884e+01, 3.776127e-04, 1.165517e-18, -5.288273e-01, 2.890327e+02, 6.982699e-01, 5.057690e-01, 3.644646e+00, 6.918942e-03, -4.105963e-01, -7.556281e-05, -2.911408e-14, 2.168404e-19, 4.858888e+00, 3.035766e-18, -3.252607e-19, -1.547855e-02, 3.405072e-18, 6.017322e-18, -5.800482e-18, 1.195278e+00, 8.351614e-01, 7.107722e-01, 1.833943e+00, 1.429309e+00, 5.319381e-04, -4.102737e-01, 6.977700e-01, -7.314055e-05, 5.054061e-01, 1.316243e+00
28, 6.348400e-01, 1.728660e+01, -9.087737e-04, 1.002887e-18, -4.777099e-01, 3.000411e+02, 5.991282e-01, 4.546517e-01, 3.370288e+00, -1.494879e-02, -3.427189e-01, -7.159305e-05, -2.968968e-14, -1.263096e-17, 4.188691e+00, 3.235666e-18, -1.463673e-18, -1.876436e-02, 5.268545e-18, 6.342583e-18, -6.505213e-18, 1.101395e+00, 7.736067e-01, 6.738953e-01, 1.772218e+00, 1.213622e+00, 7.725678e-04, -3.424547e-01, 5.987027e-01, -6.885382e-05, 4.543261e-01, 1.133325e+00
29, 7.108510e-01, 1.758170e+01, -2.428122e-03, 1.355253e-19, -4.292964e-01, 3.101268e+02, 5.061070e-01, 4.062381e-01, 3.128475e+00, -4.162621e-02, -2.708195e-01, -5.896751e-05, -3.018180e-14, -1.843144e-18, 3.455096e+00, 6.017322e-18, 2.602085e-18, -1.651014e-02, 7.958722e-18, 3.794708e-18, -6.505213e-19, 1.004579e+00, 7.110082e-01, 6.370039e-01, 1.715554e+00, 1.009667e+00, 1.065515e-03, -2.706205e-01, 5.057419e-01, -5.868638e-05, 4.059471e-01, 9.606782e-01
30, 7.906069e-01, 1.782902e+01, -3.512437e-03, 3.252607e-19, -3.877274e-01, 3.187003e+02, 4.264531e-01, 3.646691e-01, 2.931101e+00, -6.137770e-02, -1.957926e-01, -9.978536e-05, -3.060670e-14, 8.673617e-19, 2.617367e+00, -4.675622e-19, 3.794708e-19, -1.048335e-02, 6.688172e-18, 3.279712e-18, 3.794708e-18, 9.085656e-01, 6.526493e-01, 6.035322e-01, 1.667320e+00, 8.258937e-01, 1.249521e-03, -1.956568e-01, 4.261271e-01, -1.022560e-04, 3.644088e-01, 8.082148e-01
31, 8.731889e-01, 1.800995e+01, -4.150450e-03, 9.215718e-19, -3.572123e-01, 3.250396e+02, 3.676350e-01, 3.341541e-01, 2.790805e+00, -7.388485e-02, -1.184517e-01, -8.454752e-05, -3.091288e-14, 1.095044e-17, 1.649575e+00, -4.221612e-18, -3.550762e-18, -5.363481e-03, 7.982438e-18, 3.848918e-18, 7.155734e-18, 8.249452e-01, 6.059659e-01, 5.777270e-01, 1.631740e+00, 6.808586e-01, 8.760753e-04, -1.183763e-01, 3.673424e-01, -8.932712e-05, 3.339155e-01, 6.910583e-01
32, 9.575304e-01, 1.810654e+01, -4.405425e-03, 1.951564e-18, -3.410726e-01, 3.284463e+02, 3.365550e-01, 3.180143e-01, 2.717389e+00, -7.912754e-02, -3.971480e-02, -8.044102e-06, -3.108765e-14, 9.649399e-18, 5.690418e-01, -3.781155e-18, -2.900241e-18, -2.282607e-03, 7.043926e-18, 3.306817e-18, 3.171291e-18, 7.737786e-01, 5.797789e-01, 5.636005e-01, 1.612616e+00, 5.990040e-01, 6.512992e-04, -3.969623e-02, 3.362787e-01, -1.107198e-05, 3.177864e-01, 6.265345e-01
33, 1.042470e+00, 1.810703e+01, -4.519005e-03, 8.944668e-19, -3.410647e-01, 3.284643e+02, 3.362499e-01, 3.180064e-01, 2.716875e+00, -8.133212e-02, 3.951011e-02, 2.253757e-05, -3.108473e-14, 1.409463e-17, -5.558090e-01, -4.980554e-18, 3.123858e-18, 1.384758e-03, 3.435566e-18, 2.331035e-18, -9.107298e-18, 7.739381e-01, 5.795103e-01, 5.635937e-01, 1.612460e+00, 5.992455e-01, 4.956117e-04, 3.947146e-02, 3.359662e-01, 2.181334e-05, 3.177787e-01, 6.264952e-01
34, 1.126811e+00, 1.801170e+01, -4.149724e-03, 1.843144e-18, -3.572223e-01, 3.251029e+02, 3.666865e-01, 3.341640e-01, 2.789893e+00, -7.445602e-02, 1.182462e-01, -5.896995e-07, -3.093370e-14, 1.257675e-17, -1.636810e+00, -3.625301e-18, 8.402567e-19, 7.507518e-03, 1.481884e-18, 2.873136e-18, 6.938894e-18, 8.250970e-01, 6.051758e-01, 5.777364e-01, 1.631463e+00, 6.811160e-01, 2.775704e-04, 1.181488e-01, 3.663867e-01, -4.545933e-06, 3.339251e-01, 6.907139e-01
35, 1.209393e+00, 1.783164e+01, -3.251433e-03, 1.409463e-18, -3.877378e-01, 3.187944e+02, 4.248410e-01, 3.646795e-01, 2.930551e+00, -5.779970e-02, 1.956102e-01, 2.779341e-06, -3.062730e-14, 8.456777e-18, -2.608377e+00, -1.477225e-18, 8.944668e-19, 1.157872e-02, 4.760325e-19, 4.770490e-18, 1.219727e-18, 9.086743e-01, 6.514155e-01, 6.035421e-01, 1.667159e+00, 8.261077e-01, 1.603521e-04, 1.954581e-01, 4.245185e-01, -4.629013e-06, 3.644193e-01, 8.075228e-01
