#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
47, 1.847851e+00, 1.328727e+01, -1.946908e-03, -1.951564e-18, -8.267873e-01, 1.115485e-03, 1.824675e+02, 9.381384e-01, 3.195144e-01, 5.182743e+00, -2.728947e-02, 6.713928e-01, -1.031892e-04, -2.279828e-14, 2.775558e-17, -2.584485e+01, 9.195390e-18, -1.295622e-17, 9.474816e-03, -4.463864e-18, 8.890458e-18, 4.119968e-18, 2.424849e+00, 9.662274e-01, 5.637191e-01, 2.117213e+00, 5.886930e+00, -1.390977e-03, 6.683925e-01, 9.352357e-01, -1.169120e-04, 3.184770e-01, 3.570322e+00
48, 1.871164e+00, 1.258470e+01, -1.768152e-03, -1.409463e-18, -7.805244e-01, 9.661272e-04, 1.649568e+02, 8.869228e-01, 2.504520e-01, 5.054543e+00, -2.382892e-02, 6.385605e-01, -9.144231e-05, -2.161986e-14, -3.469447e-17, -3.456432e+01, 4.106416e-18, -2.569559e-17, 7.965328e-03, -5.805564e-18, 6.071532e-18, 1.149254e-17, 2.558009e+00, 9.394432e-01, 4.990344e-01, 2.104529e+00, 6.550348e+00, -1.549112e-03, 6.358252e-01, 8.841195e-01, -1.029271e-04, 2.496483e-01, 3.842058e+00
49, 1.891322e+00, 1.177291e+01, -1.606230e-03, -2.114194e-18, -7.415337e-01, 8.127646e-04, 1.456854e+02, 8.206476e-01, 1.884866e-01, 4.915582e+00, -2.080945e-02, 5.868305e-01, -8.086484e-05, -2.021679e-14, 6.938894e-18, -4.585065e+01, 7.352246e-19, -2.883978e-17, 8.954486e-03, -6.401875e-18, 8.673617e-19, 3.556183e-17, 2.653956e+00, 9.036153e-01, 4.328589e-01, 2.085643e+00, 7.050156e+00, -1.883921e-03, 5.844159e-01, 8.180162e-01, -8.813803e-05, 1.878878e-01, 4.028030e+00
50, 1.908691e+00, 1.085052e+01, -1.438131e-03, -1.355253e-18, -7.107653e-01, 6.625779e-04, 1.250420e+02, 7.412233e-01, 1.362593e-01, 4.783208e+00, -1.759817e-02, 5.167243e-01, -7.937832e-05, -1.866172e-14, 2.081668e-17, -5.970427e+01, 8.131516e-19, -1.669671e-17, 1.042857e-02, -4.293610e-18, -4.336809e-19, 2.645453e-17, 2.695793e+00, 8.587274e-01, 3.679736e-01, 2.064653e+00, 7.273673e+00, -1.990755e-03, 5.146735e-01, 7.388329e-01, -8.237814e-05, 1.358305e-01, 4.074168e+00
51, 1.923614e+00, 9.829715e+00, -1.271294e-03, -1.314595e-18, -6.848541e-01, 5.237977e-04, 1.037887e+02, 6.533282e-01, 9.459127e-02, 4.665779e+00, -1.427779e-02, 4.319272e-01, -7.190685e-05, -1.690960e-14, -2.081668e-17, -7.563233e+01, -4.201283e-19, -2.732189e-17, 1.189058e-02, -1.975281e-18, 2.710505e-18, 1.149254e-17, 2.669432e+00, 8.061622e-01, 3.065333e-01, 2.045015e+00, 7.132042e+00, -1.787071e-03, 4.302653e-01, 6.512245e-01, -7.221260e-05, 9.429642e-02, 3.938781e+00
52, 1.936403e+00, 8.738045e+00, -1.104210e-03, -9.351244e-19, -6.575354e-01, 4.034963e-04, 8.297991e+01, 5.629058e-01, 6.296503e-02, 4.561839e+00, -1.110500e-02, 3.396682e-01, -5.540318e-05, -1.501577e-14, -6.938894e-18, -9.258164e+01, -1.507719e-18, -2.558717e-17, 1.349498e-02, -9.740879e-20, 3.686287e-18, 1.496199e-17, 2.567100e+00, 7.482586e-01, 2.500416e-01, 2.028624e+00, 6.596109e+00, -1.466699e-03, 3.383948e-01, 5.611039e-01, -5.463144e-05, 6.277057e-02, 3.609992e+00
53, 1.947340e+00, 7.615798e+00, -9.422517e-04, -8.673617e-19, -6.225237e-01, 3.054728e-04, 6.374840e+01, 4.748828e-01, 4.007016e-02, 4.463860e+00, -8.353775e-03, 2.494531e-01, -3.850802e-05, -1.307968e-14, -2.775558e-17, -1.091173e+02, -6.776264e-19, -2.298509e-17, 1.484731e-02, 4.701033e-19, 1.084202e-18, 1.604619e-17, 2.390821e+00, 6.872322e-01, 1.994237e-01, 2.015586e+00, 5.722125e+00, -1.188727e-03, 2.485374e-01, 4.733740e-01, -3.757666e-05, 3.994741e-02, 3.117723e+00
54, 1.956676e+00, 6.508548e+00, -7.931837e-04, -3.930233e-19, -5.760126e-01, 2.292487e-04, 4.702642e+01, 3.920167e-01, 2.426629e-02, 4.363859e+00, -6.140906e-03, 1.702671e-01, -2.622727e-05, -1.118170e-14, -8.673617e-18, -1.238308e+02, 2.405574e-19, -3.035766e-17, 1.581068e-02, 3.311899e-19, 1.355253e-18, 4.683753e-17, 2.153736e+00, 6.243617e-01, 1.551552e-01, 2.004669e+00, 4.644546e+00, -9.868774e-04, 1.696520e-01, 3.907798e-01, -2.547159e-05, 2.419245e-02, 2.529759e+00
55, 1.964632e+00, 5.457704e+00, -6.601409e-04, -3.896352e-19, -5.178447e-01, 1.712342e-04, 3.333279e+01, 3.154266e-01, 1.389803e-02, 4.257766e+00, -4.430092e-03, 1.077842e-01, -1.792992e-05, -9.369648e-15, 0.000000e+00, -1.357709e+02, -1.355253e-20, -2.238877e-17, 1.659253e-02, 6.733912e-20, 8.131516e-19, -1.257675e-17, 1.877557e+00, 5.600197e-01, 1.173917e-01, 1.994131e+00, 3.530741e+00, -8.316607e-04, 1.073990e-01, 3.144371e-01, -1.740477e-05, 1.385595e-02, 1.929517e+00
56, 1.971403e+00, 4.493252e+00, -5.424611e-04, -3.997996e-19, -4.512321e-01, 1.270207e-04, 2.272308e+01, 2.458005e-01, 7.469632e-03, 4.147954e+00, -3.123100e-03, 6.326029e-02, -1.179797e-05, -7.715725e-15, -2.775558e-17, -1.446543e+02, 2.642743e-19, -1.973248e-17, 1.735616e-02, -1.384899e-19, -2.168404e-19, 8.239937e-18, 1.586846e+00, 4.943258e-01, 8.604158e-02, 1.982829e+00, 2.522793e+00, -6.862757e-04, 6.303555e-02, 2.450329e-01, -1.146606e-05, 7.447105e-03, 1.387637e+00
57, 1.977160e+00, 3.631243e+00, -4.386983e-04, -2.049820e-19, -3.814513e-01, 9.300569e-05, 1.489473e+01, 1.840686e-01, 3.730219e-03, 4.042528e+00, -2.131040e-03, 3.442013e-02, -7.148755e-06, -6.229921e-15, 1.214306e-17, -1.507765e+02, 1.338312e-19, -2.396087e-17, 1.808663e-02, -1.510895e-19, 4.878910e-19, 1.409463e-17, 1.302996e+00, 4.277393e-01, 6.078963e-02, 1.970937e+00, 1.701458e+00, -5.360555e-04, 3.429809e-02, 1.834959e-01, -6.954516e-06, 3.719002e-03, 9.443364e-01
58, 1.982048e+00, 2.875555e+00, -3.477911e-04, -1.236668e-19, -3.139949e-01, 6.672808e-05, 9.358902e+00, 1.312782e-01, 1.707306e-03, 3.951400e+00, -1.391935e-03, 1.732080e-02, -3.909557e-06, -4.936616e-15, 3.469447e-18, -1.547448e+02, -1.778769e-19, -2.032879e-17, 1.870329e-02, -1.439956e-19, 5.421011e-19, 1.062518e-17, 1.040597e+00, 3.612058e-01, 4.111777e-02, 1.959759e+00, 1.085420e+00, -3.888295e-04, 1.725932e-02, 1.308710e-01, -3.803950e-06, 1.702184e-03, 6.089965e-01
59, 1.986197e+00, 2.221721e+00, -2.688777e-04, -8.639736e-20, -2.529689e-01, 4.652564e-05, 5.591718e+00, 8.813976e-02, 7.015625e-04, 3.881497e+00, -8.597149e-04, 7.995363e-03, -1.913394e-06, -3.812719e-15, -2.602085e-18, -1.572148e+02, -4.201283e-19, -1.436568e-17, 1.916389e-02, -8.682088e-20, 1.219727e-19, 1.040834e-17, 8.069845e-01, 2.959489e-01, 2.635279e-02, 1.950786e+00, 6.528715e-01, -2.594211e-04, 7.966894e-03, 8.786707e-02, -1.860396e-06, 6.994611e-04, 3.707190e-01
60, 1.989715e+00, 1.660749e+00, -2.009822e-04, -3.303428e-20, -2.004350e-01, 3.118821e-05, 3.125311e+00, 5.472112e-02, 2.502592e-04, 3.834220e+00, -4.934974e-04, 3.319884e-03, -8.262317e-07, -2.853756e-15, -1.734723e-18, -1.587308e+02, -6.217222e-19, -1.002887e-17, 1.947991e-02, -4.944555e-20, 1.423015e-19, 8.131516e-18, 6.039061e-01, 2.331763e-01, 1.573676e-02, 1.944798e+00, 3.656548e-01, -1.574781e-04, 3.308009e-03, 5.455222e-02, -8.021731e-07, 2.495106e-04, 2.102282e-01
61, 1.992697e+00, 1.181923e+00, -1.429617e-04, -2.392868e-20, -1.566845e-01, 1.976006e-05, 1.582935e+00, 3.043052e-02, 7.302524e-05, 3.806290e+00, -2.552307e-04, 1.189561e-03, -3.037314e-07, -2.028596e-15, 1.691355e-17, -1.596784e+02, -3.379661e-19, -8.782038e-18, 1.968826e-02, -2.189051e-20, 1.389134e-19, 6.288373e-18, 4.297803e-01, 1.738767e-01, 8.499440e-03, 1.941647e+00, 1.851995e-01, -8.485061e-05, 1.185284e-03, 3.033678e-02, -2.942733e-07, 7.280700e-05, 1.078045e-01
62, 1.995222e+00, 7.744742e-01, -9.360310e-05, -6.035110e-21, -1.208727e-01, 1.144607e-05, 6.796189e-01, 1.419245e-02, 1.550728e-05, 3.792397e+00, -1.113985e-04, 3.363494e-04, -8.733341e-08, -1.328320e-15, -5.854692e-18, -1.603019e+02, -1.723712e-19, -6.830474e-18, 1.982620e-02, -9.972489e-21, 5.590417e-20, 3.740497e-18, 2.815285e-01, 1.187404e-01, 3.916162e-03, 1.940629e+00, 7.946835e-02, -3.819711e-05, 3.351336e-04, 1.414881e-02, -8.439749e-08, 1.546098e-05, 4.681631e-02
63, 1.997361e+00, 4.284082e-01, -5.172859e-05, -4.499863e-21, -9.147096e-02, 5.568999e-06, 2.079432e-01, 4.677629e-03, 1.829590e-06, 3.787507e+00, -3.454397e-05, 6.013531e-05, -1.579647e-08, -7.350755e-16, 6.505213e-19, -1.607437e+02, -8.915022e-20, -3.557538e-18, 1.992147e-02, -2.253240e-21, 1.355253e-20, 1.843144e-18, 1.556968e-01, 6.816611e-02, 1.344970e-03, 1.940970e+00, 2.430558e-02, -1.213968e-05, 5.991685e-05, 4.663270e-03, -1.522133e-08, 1.824130e-06, 1.448534e-02
64, 1.999170e+00, 1.348192e-01, -1.625995e-05, -1.991851e-21, -6.581390e-02, 1.548742e-06, 2.059423e-02, 5.010460e-04, 6.028934e-08, 3.787931e+00, -3.466091e-06, 3.230604e-06, -8.525641e-10, -2.312506e-16, 1.246832e-18, -1.610960e+02, -4.616330e-20, -1.124860e-18, 2.004369e-02, -2.905260e-10, 5.755218e-09, 2.263272e-18, 4.900397e-02, 2.230900e-02, 2.441176e-04, 1.942105e+00, 2.407709e-03, -1.247301e-06, 3.218805e-06, 4.995106e-04, -8.174305e-10, 6.010953e-08, 1.453640e-03
