#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
16, 1.086783e-01, 1.196454e+01, 3.497890e-04, 1.734723e-18, -1.257013e-01, 1.492533e+02, 9.449914e-01, 2.893303e-01, 2.341919e+00, 6.012976e-03, -6.649929e-01, 4.956889e-05, -2.054981e-14, -4.163336e-17, 4.052091e+01, -7.596191e-18, 1.073360e-17, 1.616988e-02, 4.123356e-18, 7.264155e-18, 4.336809e-18, 2.466646e+00, 9.706667e-01, 5.369439e-01, 1.523557e+00, 6.088056e+00, 1.697538e-03, -6.635376e-01, 9.432467e-01, 6.061590e-05, 2.887927e-01, 3.660048e+00
17, 1.288356e-01, 1.267750e+01, 6.831180e-04, 2.859583e-18, -1.781999e-01, 1.662413e+02, 1.009234e+00, 3.680689e-01, 2.380076e+00, 1.002113e-02, -7.003405e-01, 4.109947e-05, -2.176698e-14, -4.987330e-17, 3.032961e+01, -1.688645e-17, 1.203464e-17, 1.426523e-02, 8.226384e-18, 1.626303e-18, 3.903128e-18, 2.346226e+00, 1.003125e+00, 6.056798e-01, 1.530814e+00, 5.508502e+00, 1.220775e-03, -6.987700e-01, 1.007366e+00, 5.630734e-05, 3.673833e-01, 3.441626e+00
18, 1.521493e-01, 1.329339e+01, 9.964466e-04, 9.215718e-19, -2.323663e-01, 1.816041e+02, 1.056246e+00, 4.493075e-01, 2.403432e+00, 1.391483e-02, -7.181519e-01, 4.123703e-05, -2.284230e-14, -1.691355e-17, 2.274794e+01, -1.780802e-17, 6.722053e-18, 9.709877e-03, 1.147899e-17, 1.192622e-18, -2.493665e-17, 2.207681e+00, 1.026226e+00, 6.692415e-01, 1.531197e+00, 4.877509e+00, 5.253360e-04, -7.165023e-01, 1.054281e+00, 5.733404e-05, 4.484674e-01, 3.190129e+00
19, 1.790077e-01, 1.382782e+01, 1.219992e-03, 5.963112e-19, -2.834868e-01, 1.954828e+02, 1.086705e+00, 5.259761e-01, 2.404233e+00, 1.703622e-02, -7.208689e-01, 1.662153e-05, -2.374045e-14, 6.505213e-18, 1.731425e+01, -6.105413e-18, 1.257675e-17, 5.806209e-03, 1.270549e-17, -8.673617e-18, -2.276825e-17, 2.063973e+00, 1.040921e+00, 7.241289e-01, 1.522876e+00, 4.263451e+00, 8.695574e-06, -7.191784e-01, 1.084671e+00, 3.196859e-05, 5.249848e-01, 2.936553e+00
20, 2.098103e-01, 1.429962e+01, 1.404287e-03, 4.336809e-19, -3.263221e-01, 2.081945e+02, 1.101389e+00, 5.902168e-01, 2.376511e+00, 2.039459e-02, -7.109615e-01, -3.955926e-05, -2.458504e-14, 8.673617e-18, 1.353817e+01, 1.246832e-18, 2.125036e-17, 4.632029e-03, 1.068278e-17, -1.561251e-17, -2.385245e-17, 1.924220e+00, 1.047937e+00, 7.670980e-01, 1.505178e+00, 3.705824e+00, 1.518033e-04, -7.092666e-01, 1.099319e+00, -2.467804e-05, 5.890913e-01, 2.697117e+00
21, 2.449539e-01, 1.472761e+01, 1.603929e-03, -1.843144e-18, -3.562661e-01, 2.201334e+02, 1.098973e+00, 6.351224e-01, 2.317639e+00, 2.481416e-02, -6.906748e-01, -1.645562e-04, -2.526993e-14, 3.512815e-17, 1.096159e+01, -3.787931e-18, 1.170938e-17, 4.728888e-03, 7.094748e-18, -2.298509e-17, -1.908196e-17, 1.794299e+00, 1.046802e+00, 7.957514e-01, 1.478706e+00, 3.222475e+00, 1.034073e-03, -6.890047e-01, 1.096912e+00, -1.459964e-04, 6.338939e-01, 2.476640e+00
22, 2.848143e-01, 1.512820e+01, 1.817787e-03, -1.951564e-18, -3.707705e-01, 2.316812e+02, 1.076330e+00, 6.568717e-01, 2.229354e+00, 2.875221e-02, -6.618520e-01, -1.716666e-04, -2.596350e-14, 2.038300e-17, 9.192214e+00, -2.344587e-17, 5.963112e-18, 5.836550e-03, 4.411348e-18, -2.385245e-17, 1.734723e-17, 1.675891e+00, 1.035974e+00, 8.092629e-01, 1.445023e+00, 2.811301e+00, 1.099012e-03, -6.602335e-01, 1.074309e+00, -1.474222e-04, 6.555858e-01, 2.270598e+00
23, 3.297231e-01, 1.551292e+01, 2.128240e-03, -2.493665e-18, -3.699387e-01, 2.431220e+02, 1.032247e+00, 6.556202e-01, 2.117774e+00, 3.334228e-02, -6.254432e-01, -3.124120e-04, -2.661478e-14, 1.431147e-17, 7.930508e+00, -2.616824e-17, -9.812030e-18, 1.076239e-02, -4.946672e-19, -1.333569e-17, -2.602085e-17, 1.569211e+00, 1.014533e+00, 8.084924e-01, 1.406238e+00, 2.464813e+00, 2.076763e-04, -6.239030e-01, 1.030274e+00, -2.749568e-04, 6.543303e-01, 2.074708e+00
24, 3.799401e-01, 1.588853e+01, 2.848026e-03, -9.757820e-19, -3.561449e-01, 2.546177e+02, 9.674914e-01, 6.349297e-01, 1.991194e+00, 4.420501e-02, -5.813823e-01, -3.388171e-04, -2.727929e-14, 2.081668e-17, 6.974582e+00, -3.896352e-19, -2.173825e-17, 1.664289e-02, -2.974780e-18, -3.686287e-18, 1.409463e-17, 1.471134e+00, 9.821984e-01, 7.956303e-01, 1.364311e+00, 2.166334e+00, -1.095174e-03, -5.799386e-01, 9.656403e-01, -2.889373e-04, 6.336805e-01, 1.882827e+00
25, 4.356227e-01, 1.625737e+01, 3.881235e-03, -7.589415e-19, -3.326500e-01, 2.662086e+02, 8.859441e-01, 5.996907e-01, 1.858124e+00, 6.022776e-02, -5.305017e-01, 1.114764e-04, -2.794791e-14, 1.734723e-18, 6.192330e+00, 5.214335e-18, -1.604619e-17, 1.200250e-02, -2.500441e-18, -1.192622e-18, 1.295622e-17, 1.378131e+00, 9.398954e-01, 7.732320e-01, 1.320930e+00, 1.901157e+00, -2.930419e-03, -5.291605e-01, 8.842586e-01, 1.641725e-04, 5.985102e-01, 1.691963e+00
26, 4.967933e-01, 1.661785e+01, 4.232875e-03, -5.421011e-19, -3.029006e-01, 2.778190e+02, 7.933557e-01, 5.550724e-01, 1.725760e+00, 6.693968e-02, -4.737077e-01, 1.539412e-04, -2.852102e-14, 1.734723e-18, 5.497296e+00, 3.862470e-18, 2.710505e-20, 3.097534e-04, 2.242943e-18, 1.387779e-17, 6.179952e-18, 1.288194e+00, 8.894336e-01, 7.439064e-01, 1.277419e+00, 1.661200e+00, -3.461532e-03, -4.725072e-01, 7.918632e-01, 1.999803e-04, 5.539772e-01, 1.503520e+00
27, 5.633095e-01, 1.696482e+01, 3.900623e-03, -3.252607e-19, -2.697593e-01, 2.892445e+02, 6.947858e-01, 5.053678e-01, 1.599343e+00, 6.320653e-02, -4.109123e-01, 1.935456e-04, -2.913219e-14, -6.071532e-18, 4.833920e+00, 1.034735e-17, -5.963112e-19, -2.756819e-03, -2.181957e-18, 1.550409e-17, 5.854692e-18, 1.197276e+00, 8.323574e-01, 7.098230e-01, 1.234806e+00, 1.435006e+00, -2.969048e-03, -4.098851e-01, 6.934958e-01, 2.174605e-04, 5.043821e-01, 1.316442e+00
28, 6.348400e-01, 1.729039e+01, 3.831395e-03, 1.138412e-18, -2.358195e-01, 3.001806e+02, 5.959556e-01, 4.544661e-01, 1.483476e+00, 6.379214e-02, -3.432489e-01, 9.098537e-05, -2.970920e-14, -8.673617e-18, 4.160592e+00, 8.643124e-18, 2.547875e-18, -4.624636e-03, -5.532819e-18, 1.517883e-17, 9.107298e-18, 1.103660e+00, 7.708725e-01, 6.731391e-01, 1.194315e+00, 1.219417e+00, -2.414301e-03, -3.424129e-01, 5.948420e-01, 9.855316e-05, 4.535979e-01, 1.133929e+00
29, 7.108510e-01, 1.758350e+01, 3.202495e-03, 1.301043e-18, -2.036294e-01, 3.101980e+02, 5.035828e-01, 4.061885e-01, 1.381989e+00, 5.479417e-02, -2.714476e-01, 2.277145e-06, -3.019471e-14, -1.604619e-17, 3.425552e+00, -7.514876e-18, -3.252607e-19, -8.535332e-03, -4.180955e-18, 1.615461e-17, 1.138412e-17, 1.007233e+00, 7.086071e-01, 6.363914e-01, 1.157309e+00, 1.015704e+00, -1.440958e-03, -2.708209e-01, 5.026232e-01, -3.266912e-06, 4.054268e-01, 9.618769e-01
30, 7.906069e-01, 1.782817e+01, 2.504561e-03, 2.602085e-18, -1.759284e-01, 3.186769e+02, 4.250657e-01, 3.646435e-01, 1.298924e+00, 4.371293e-02, -1.963204e-01, 9.251274e-05, -3.061201e-14, -3.035766e-18, 2.590136e+00, -1.141800e-17, 4.309704e-18, -9.640865e-03, -4.838252e-18, 1.322727e-17, 6.017322e-18, 9.109951e-01, 6.509931e-01, 6.029733e-01, 1.125646e+00, 8.309302e-01, -8.551665e-04, -1.958845e-01, 4.242099e-01, 7.625758e-05, 3.639722e-01, 8.095562e-01
31, 8.731889e-01, 1.800730e+01, 1.638000e-03, 1.246832e-18, -1.555322e-01, 3.249481e+02, 3.669628e-01, 3.340540e-01, 1.239831e+00, 2.931299e-02, -1.188639e-01, 7.042906e-05, -3.092155e-14, -9.107298e-18, 1.630540e+00, -9.432559e-18, 9.378349e-18, -8.076767e-03, -4.692563e-18, 9.974660e-18, 1.843144e-18, 8.262653e-01, 6.048455e-01, 5.771322e-01, 1.102246e+00, 6.835418e-01, -1.056232e-04, -1.185919e-01, 3.661967e-01, 6.352111e-05, 3.334504e-01, 6.915945e-01
32, 9.575304e-01, 1.810251e+01, 1.145961e-03, 2.059984e-18, -1.447021e-01, 3.283027e+02, 3.362654e-01, 3.178113e-01, 1.209335e+00, 2.118474e-02, -4.014814e-02, 9.695476e-05, -3.109741e-14, -4.336809e-19, 5.531825e-01, -4.316480e-18, 9.378349e-18, -4.118469e-03, -1.589034e-18, 3.686287e-18, -5.366801e-18, 7.744144e-01, 5.789877e-01, 5.629282e-01, 1.089868e+00, 6.004063e-01, 5.221867e-04, -4.004393e-02, 3.355502e-01, 1.055233e-04, 3.172421e-01, 6.265993e-01
33, 1.042470e+00, 1.810169e+01, 9.267134e-04, 4.336809e-19, -1.446387e-01, 3.282731e+02, 3.366226e-01, 3.177162e-01, 1.209589e+00, 1.759685e-02, 3.911033e-02, 4.255838e-05, -3.109351e-14, 1.951564e-17, -5.658449e-01, -2.727446e-18, 3.198396e-18, -1.829705e-03, 7.521653e-19, -2.710505e-19, -1.864828e-17, 7.744591e-01, 5.793017e-01, 5.628484e-01, 1.089999e+00, 6.004539e-01, 8.916596e-04, 3.903518e-02, 3.359171e-01, 5.841218e-05, 3.171477e-01, 6.267594e-01
34, 1.126811e+00, 1.800598e+01, 8.226710e-04, 4.336809e-19, -1.553419e-01, 3.248995e+02, 3.675270e-01, 3.337685e-01, 1.240304e+00, 1.591170e-02, 1.179308e-01, 8.801927e-05, -3.091787e-14, 2.168404e-18, -1.641009e+00, -6.708501e-19, 1.680513e-18, 2.397830e-03, 4.883992e-18, -2.331035e-18, 0.000000e+00, 8.257311e-01, 6.053196e-01, 5.768993e-01, 1.102506e+00, 6.826106e-01, 1.131201e-03, 1.176745e-01, 3.667746e-01, 9.336139e-05, 3.331712e-01, 6.912782e-01
