#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
31, 8.731889e-01, 1.806762e+01, -7.781917e-03, 3.252607e-18, -6.055294e-01, 1.356882e-03, 3.271952e+02, 3.933543e-01, 3.445282e-01, 3.313155e+00, -1.420422e-01, -1.181979e-01, 3.333045e-04, -3.102195e-14, 8.673617e-18, 1.557405e+00, -8.429672e-18, 3.035766e-18, -1.513050e-02, -4.309704e-18, 3.903128e-18, -2.168404e-18, 8.655295e-01, 6.250670e-01, 5.850311e-01, 1.715319e+00, 7.512592e-01, -1.662404e-03, -1.176581e-01, 3.915739e-01, 3.573366e-04, 3.431065e-01, 7.429698e-01
32, 9.575304e-01, 1.815919e+01, -9.188703e-03, 1.192622e-18, -5.836454e-01, 1.314182e-03, 3.304266e+02, 3.650192e-01, 3.318279e-01, 3.220816e+00, -1.675003e-01, -4.026509e-02, 4.904896e-04, -3.117331e-14, 9.540979e-18, 5.470581e-01, -7.521653e-18, 4.770490e-18, -1.455324e-02, -5.685285e-18, 3.252607e-18, -9.757820e-18, 8.149916e-01, 6.020596e-01, 5.741518e-01, 1.696052e+00, 6.659162e-01, -8.003824e-04, -4.007050e-02, 3.632506e-01, 5.398164e-04, 3.304633e-01, 6.798151e-01
33, 1.042470e+00, 1.816094e+01, -1.025265e-02, 1.951564e-18, -5.837306e-01, 1.313387e-03, 3.304864e+02, 3.648718e-01, 3.318912e-01, 3.219666e+00, -1.854883e-01, 3.804396e-02, 4.999913e-04, -3.119358e-14, -9.107298e-18, -5.043047e-01, -1.395910e-18, 1.192622e-17, -4.643016e-03, -5.786929e-18, -6.505213e-19, -4.336809e-18, 8.129891e-01, 6.018593e-01, 5.742024e-01, 1.695717e+00, 6.625811e-01, 5.983295e-04, 3.790688e-02, 3.630119e-01, 5.504963e-04, 3.305224e-01, 6.780577e-01
34, 1.126811e+00, 1.807317e+01, -9.960660e-03, -5.421011e-19, -6.059140e-01, 1.356239e-03, 3.273860e+02, 3.928046e-01, 3.447251e-01, 3.310218e+00, -1.792611e-01, 1.160001e-01, 5.562933e-04, -3.104136e-14, -1.994932e-17, -1.518974e+00, -2.222614e-18, 7.589415e-18, 3.943623e-03, -5.288874e-18, 1.084202e-18, 1.517883e-18, 8.601696e-01, 6.244805e-01, 5.851890e-01, 1.714399e+00, 7.419161e-01, 6.677444e-04, 1.155031e-01, 3.908597e-01, 5.956531e-04, 3.432887e-01, 7.380322e-01
35, 1.209393e+00, 1.790543e+01, -9.571033e-03, 7.047314e-19, -6.476593e-01, 1.430389e-03, 3.214976e+02, 4.441021e-01, 3.689161e-01, 3.484039e+00, -1.706735e-01, 1.928045e-01, 5.670021e-04, -3.072943e-14, 0.000000e+00, -2.436165e+00, -7.087972e-18, 6.505213e-18, 1.767227e-03, -8.050201e-18, 3.686287e-18, 5.421011e-19, 9.409452e-01, 6.640965e-01, 6.053694e-01, 1.749188e+00, 8.878409e-01, 6.654252e-04, 1.919419e-01, 4.420464e-01, 5.944172e-04, 3.673625e-01, 8.486249e-01
36, 1.289149e+00, 1.767459e+01, -9.666555e-03, 2.168404e-18, -7.046275e-01, 1.517625e-03, 3.134753e+02, 5.138036e-01, 4.019378e-01, 3.727388e+00, -1.699658e-01, 2.673432e-01, 6.987300e-04, -3.035332e-14, 1.734723e-18, -3.230080e+00, -1.551764e-18, 8.402567e-19, -4.845479e-03, -2.907017e-18, 5.854692e-18, 7.264155e-18, 1.036795e+00, 7.144327e-01, 6.318878e-01, 1.795702e+00, 1.077871e+00, 9.122580e-04, 2.661247e-01, 5.116090e-01, 7.306254e-04, 4.002559e-01, 9.948681e-01
37, 1.365160e+00, 1.739831e+01, -1.034416e-02, 2.087089e-18, -7.717572e-01, 1.600769e-03, 3.040044e+02, 5.966762e-01, 4.404597e-01, 4.026762e+00, -1.786980e-01, 3.386108e-01, 6.862701e-04, -2.987096e-14, 4.336809e-18, -3.938151e+00, -1.544988e-18, -2.873136e-18, -1.054071e-02, 5.000883e-18, 8.456777e-18, 1.528725e-17, 1.136982e+00, 7.699576e-01, 6.614956e-01, 1.850145e+00, 1.296166e+00, 1.356838e-03, 3.370750e-01, 5.942144e-01, 7.401734e-04, 4.386481e-01, 1.164514e+00
38, 1.436690e+00, 1.708894e+01, -1.126773e-02, 1.951564e-18, -8.440382e-01, 1.667948e-03, 2.935756e+02, 6.869415e-01, 4.809869e-01, 4.369610e+00, -1.900101e-01, 4.057724e-01, 6.190919e-04, -2.934805e-14, 1.474515e-17, -4.609481e+00, -6.501825e-18, 1.734723e-18, -1.728509e-02, 5.651404e-18, 2.818926e-18, 1.756408e-17, 1.237576e+00, 8.261698e-01, 6.912832e-01, 1.909756e+00, 1.535510e+00, 2.753636e-03, 4.039238e-01, 6.841157e-01, 7.075849e-04, 4.790328e-01, 1.349329e+00
39, 1.503207e+00, 1.675694e+01, -1.279176e-02, 1.301043e-18, -9.161062e-01, 1.711824e-03, 2.826010e+02, 7.769094e-01, 5.196054e-01, 4.738101e+00, -2.113289e-01, 4.679271e-01, 7.913522e-04, -2.877592e-14, 3.469447e-18, -5.278269e+00, -1.166873e-17, 3.794708e-18, -2.342656e-02, 3.279712e-18, 8.673617e-19, 2.298509e-17, 1.338669e+00, 8.785526e-01, 7.185016e-01, 1.971524e+00, 1.796530e+00, 3.264439e-03, 4.657708e-01, 7.736247e-01, 8.900072e-04, 5.174843e-01, 1.543819e+00
40, 1.564377e+00, 1.640966e+01, -1.431216e-02, 4.174178e-18, -9.820113e-01, 1.727209e-03, 2.713726e+02, 8.577820e-01, 5.515276e-01, 5.109743e+00, -2.327180e-01, 5.237863e-01, 9.277285e-04, -2.818882e-14, 1.647987e-17, -6.006408e+00, -9.351244e-19, -1.192622e-17, -2.141324e-02, -3.489776e-18, -5.637851e-18, 1.138412e-17, 1.442150e+00, 9.230966e-01, 7.402172e-01, 2.032635e+00, 2.084903e+00, 2.360268e-03, 5.213301e-01, 8.540616e-01, 1.016423e-03, 5.492276e-01, 1.744096e+00
