#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
28, 6.348400e-01, 1.737810e+01, -7.852844e-04, 3.361027e-18, -6.173546e-01, 1.597435e-03, 3.033043e+02, 5.953283e-01, 4.393996e-01, 3.411422e+00, -1.248397e-02, -3.388764e-01, 8.681221e-05, -2.984223e-14, -2.081668e-17, 3.941044e+00, -1.295960e-18, -4.119968e-18, 4.183573e-03, 3.296652e-18, 2.710505e-19, -9.757820e-19, 1.141896e+00, 7.711368e-01, 6.624998e-01, 1.740317e+00, 1.304580e+00, 1.076347e-03, -3.386102e-01, 5.949009e-01, 9.712362e-05, 4.390916e-01, 1.169286e+00
29, 7.108510e-01, 1.765511e+01, -2.951555e-04, 3.970890e-18, -5.500705e-01, 1.514060e-03, 3.127909e+02, 5.125214e-01, 4.003948e-01, 3.131996e+00, -3.986123e-03, -2.677350e-01, 6.649764e-05, -3.030508e-14, 1.734723e-18, 3.237838e+00, 1.799098e-18, -8.131516e-19, 6.648760e-03, 5.234664e-18, -1.463673e-18, 5.963112e-18, 1.042293e+00, 7.154986e-01, 6.324097e-01, 1.681704e+00, 1.086936e+00, 1.159041e-03, -2.675236e-01, 5.121502e-01, 7.283023e-05, 4.001133e-01, 9.995997e-01
30, 7.906069e-01, 1.788640e+01, 2.559370e-04, 4.906015e-18, -4.931418e-01, 1.426691e-03, 3.208194e+02, 4.421233e-01, 3.672238e-01, 2.904807e+00, 5.883994e-03, -1.932743e-01, 5.801328e-05, -3.071241e-14, -8.673617e-19, 2.443813e+00, -9.351244e-19, -5.963112e-19, 6.593385e-03, 4.160626e-18, -4.445229e-18, 4.228388e-18, 9.458895e-01, 6.645375e-01, 6.056441e-01, 1.631132e+00, 8.951713e-01, 1.257013e-03, -1.931179e-01, 4.417869e-01, 6.345022e-05, 3.669625e-01, 8.519604e-01
31, 8.731889e-01, 1.805494e+01, 7.909265e-04, 5.122855e-18, -4.515865e-01, 1.352957e-03, 3.267283e+02, 3.902254e-01, 3.430657e-01, 2.742973e+00, 1.553065e-02, -1.165622e-01, 9.118518e-05, -3.100222e-14, -3.469447e-18, 1.532948e+00, -3.659182e-19, 7.860466e-19, 5.134205e-03, 2.225156e-18, -2.168404e-18, 4.228388e-18, 8.638348e-01, 6.243109e-01, 5.853797e-01, 1.593177e+00, 7.465877e-01, 1.235570e-03, -1.164688e-01, 3.899194e-01, 9.502300e-05, 3.428161e-01, 7.396616e-01
32, 9.575304e-01, 1.814430e+01, 1.131622e-03, 4.607859e-18, -4.295088e-01, 1.310026e-03, 3.298812e+02, 3.627958e-01, 3.302753e-01, 2.658114e+00, 2.138234e-02, -3.871958e-02, 5.569266e-05, -3.116962e-14, -2.602085e-18, 5.225258e-01, -3.428789e-18, -1.409463e-18, 2.825670e-03, 2.127747e-18, -1.273938e-18, 0.000000e+00, 8.152337e-01, 6.019724e-01, 5.743601e-01, 1.572554e+00, 6.649110e-01, 8.616041e-04, -3.869261e-02, 3.625105e-01, 5.512221e-05, 3.300303e-01, 6.787259e-01
33, 1.042470e+00, 1.814410e+01, 1.284894e-03, 4.865357e-18, -4.294800e-01, 1.310225e-03, 3.298744e+02, 3.626963e-01, 3.302033e-01, 2.657717e+00, 2.379880e-02, 3.947674e-02, 5.427496e-05, -3.116832e-14, -2.602085e-18, -5.260463e-01, -2.727446e-18, -1.192622e-18, 3.724858e-03, 2.422514e-18, 1.517883e-18, -2.894820e-17, 8.156259e-01, 6.019011e-01, 5.742951e-01, 1.572441e+00, 6.655466e-01, 5.076142e-04, 3.944028e-02, 3.624196e-01, 4.880369e-05, 3.299548e-01, 6.789605e-01
34, 1.126811e+00, 1.805455e+01, 1.774997e-03, 5.719166e-18, -4.515550e-01, 1.353210e-03, 3.267161e+02, 3.899832e-01, 3.429579e-01, 2.742160e+00, 3.213298e-02, 1.173264e-01, 5.269753e-05, -3.100482e-14, 8.673617e-19, -1.535810e+00, -5.329531e-18, 1.626303e-19, 5.540086e-03, 4.399489e-18, -1.463673e-18, 4.336809e-17, 8.649526e-01, 6.241335e-01, 5.852813e-01, 1.592947e+00, 7.484975e-01, 1.058782e-04, 1.172292e-01, 3.896945e-01, 4.829118e-05, 3.426995e-01, 7.404457e-01
35, 1.209393e+00, 1.788571e+01, 2.218193e-03, 5.990217e-18, -4.933339e-01, 1.427357e-03, 3.207967e+02, 4.416742e-01, 3.672773e-01, 2.904573e+00, 3.939003e-02, 1.939926e-01, 3.552434e-06, -3.073095e-14, -3.035766e-18, -2.448998e+00, -5.583641e-18, 3.740497e-18, 4.660898e-03, 1.028637e-17, -3.252607e-18, 6.830474e-18, 9.469930e-01, 6.642080e-01, 6.056807e-01, 1.631024e+00, 8.972239e-01, -2.737301e-04, 1.938378e-01, 4.413528e-01, 4.685711e-06, 3.670053e-01, 8.527910e-01
36, 1.289149e+00, 1.765385e+01, 2.537424e-03, 6.315478e-18, -5.506028e-01, 1.514675e-03, 3.127482e+02, 5.123840e-01, 4.007417e-01, 3.133127e+00, 4.470309e-02, 2.684946e-01, 7.090798e-05, -3.029391e-14, -8.239937e-18, -3.245581e+00, -4.363914e-18, 4.472334e-18, 6.746272e-03, 9.544367e-18, 1.138412e-18, 2.276825e-18, 1.043185e+00, 7.154027e-01, 6.326783e-01, 1.681895e+00, 1.088738e+00, -8.501057e-05, 2.682856e-01, 5.120106e-01, 7.514167e-05, 4.004503e-01, 1.000600e+00
37, 1.365160e+00, 1.737617e+01, 3.276445e-03, 6.423898e-18, -6.181188e-01, 1.598200e-03, 3.032398e+02, 5.955400e-01, 4.399495e-01, 3.413864e+00, 5.689562e-02, 3.397339e-01, 9.927004e-05, -2.983030e-14, 4.336809e-18, -3.943916e+00, -4.252105e-18, 2.954451e-18, 7.741661e-03, 6.611939e-18, 4.472334e-18, -3.252607e-18, 1.143101e+00, 7.712692e-01, 6.629103e-01, 1.740778e+00, 1.307257e+00, -1.832929e-05, 3.394691e-01, 5.951010e-01, 1.049618e-04, 4.396322e-01, 1.170995e+00
